run,grain,bicorr,percentile_to_human,n_event_models,active_event_models,epoch,n_boundaries,sem_params,tag,mean_pe,std_pe,pearson_r,is_train,switch_old,switch_new,switch_current,entropy,purity,coverage,n_triggers,n_timesteps,distance_to_null,pe_unc_corr,t_stat_biserial,mi,n_boundaries_adjusted,t_stat_biserial_adjusted,bicorr_adjusted,bicorr_random_adjusted 
1.2.3_kinect,coarse,0.4992415291404664,29.62962962962963,37,12,11,13,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val3.1.3_0.001_permutation_5_2.5E-03_1.0E+04_5.0E-04,0.4298712830085293,0.21334250550110484,0.43361157540266676,True,8,0,5,0.8329375221994899,0.730145507246377,0.8965953301507205,71.0,1734,0.36574219375296313,0.31477138594698134,5.466787844841611,0.708063685503575,8,3.9473462358004334,0.412109103521743,0.35825168981144245
1.2.3_kinect,fine,0.5877888685528025,21.05263157894737,37,12,11,13,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val3.1.3_0.001_permutation_5_2.5E-03_1.0E+04_5.0E-04,0.4298712830085293,0.21334250550110484,0.3980480483338685,True,8,0,5,0.8329375221994899,0.730145507246377,0.8965953301507205,71.0,1734,0.4542895331652993,0.31477138594698134,6.811762183087652,0.708063685503575,8,5.092800399933383,0.4945898819640926,0.4725711382180486
6.3.9_kinect,coarse,0.18286374387316917,0.0,42,11,11,26,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val3.1.3_0.001_permutation_2_2.5E-03_1.0E+04_5.0E-04,0.6031734286686089,0.24903181541412991,0.0864415262944029,True,14,0,12,0.812893011203248,0.629724531170806,0.5869825473153316,108.0,1988,0.05268458150981814,0.3414799928652383,1.1033918400887435,0.5540952303577532,23,0.9029921894722267,0.17295601529061114,0.17150957778427603
6.3.9_kinect,fine,0.3405137676438555,3.7037037037037037,42,11,11,26,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val3.1.3_0.001_permutation_2_2.5E-03_1.0E+04_5.0E-04,0.6031734286686089,0.24903181541412991,0.07168915444106745,True,14,0,12,0.812893011203248,0.629724531170806,0.5869825473153316,108.0,1988,0.21033460528050446,0.3414799928652383,4.598320889108053,0.5540952303577532,23,4.385135927088188,0.33821556376100015,0.32763138961454724
3.1.3_kinect,coarse,0.19941198671397475,4.3478260869565215,38,13,11,25,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val1.2.3_0.001_permutation_1_2.5E-03_1.0E+04_5.0E-04,0.5040117830924695,0.26578168018102777,0.16375596068656662,True,17,1,7,0.8024076384078498,0.6599871718377087,0.5881389385807991,141.0,1695,0.06580060856993236,0.35773954421595844,1.2017245077200644,0.6433964318454816,20,0.8075387589750408,0.1802697980245387,0.20350746109387338
3.1.3_kinect,fine,0.4943558034892835,4.3478260869565215,38,13,11,25,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val1.2.3_0.001_permutation_1_2.5E-03_1.0E+04_5.0E-04,0.5040117830924695,0.26578168018102777,0.2135881678464135,True,17,1,7,0.8024076384078498,0.6599871718377087,0.5881389385807991,141.0,1695,0.3607444253452411,0.35773954421595844,7.057328136436959,0.6433964318454816,20,6.032243468991517,0.46264024554907657,0.4831051175370358
3.1.3_kinect,coarse,0.18485051827568388,4.3478260869565215,40,11,10,26,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val1.2.3_0.001_permutation_2_2.5E-03_1.0E+04_5.0E-04,0.5194642219694264,0.27125468102383676,0.10287321607566074,True,16,2,8,0.826683640268217,0.8531748210023865,0.6603291592128803,136.0,1695,0.046963329007928906,0.3506021593648209,0.8462444307516309,0.7464908411444788,22,1.0072666796893577,0.1857186330337421,0.20813977318722507
3.1.3_kinect,fine,0.41254535200024745,0.0,40,11,10,26,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val1.2.3_0.001_permutation_2_2.5E-03_1.0E+04_5.0E-04,0.5194642219694264,0.27125468102383676,0.1150974253225434,True,16,2,8,0.826683640268217,0.8531748210023865,0.6603291592128803,136.0,1695,0.27465816273249244,0.3506021593648209,5.422272435363654,0.7464908411444788,22,5.335306200883527,0.3939828269996027,0.40960169436694455
3.1.3_kinect,coarse,0.16899127346848414,4.3478260869565215,40,11,10,28,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val6.3.9_0.001_permutation_1_2.5E-03_1.0E+04_5.0E-04,0.49315394887226455,0.25514797914740794,0.07904473096038897,True,19,1,8,0.8076981468307732,0.838094029850746,0.7076085271317828,142.0,1695,0.030553797237664604,0.37013844071303087,0.5274934918567739,0.7452825812852327,22,0.15329964264355878,0.14834896623182514,0.18349175473565413
3.1.3_kinect,fine,0.3952185092482664,0.0,40,11,10,28,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val6.3.9_0.001_permutation_1_2.5E-03_1.0E+04_5.0E-04,0.49315394887226455,0.25514797914740794,0.07583737381740197,True,19,1,8,0.8076981468307732,0.838094029850746,0.7076085271317828,142.0,1695,0.25678103301744687,0.37013844071303087,5.181721584658576,0.7452825812852327,22,4.967875981022716,0.3924471869148235,0.4322011306805154
2.4.1_kinect,coarse,0.35128275948990245,8.0,37,14,12,29,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val6.3.9_0.001_permutation_4_2.5E-03_1.0E+04_5.0E-04,0.4341678592096121,0.2367704371214317,0.4414113505584048,True,21,0,8,0.8263163078828883,0.7097714981070848,0.5722515848615881,43.0,1871,0.22604624822820069,0.515850569951549,5.118580021725834,0.633216507653183,27,5.338524681679853,0.36073298248099844,0.35187518838735277
2.4.1_kinect,fine,0.6593455265917154,29.166666666666668,37,14,12,29,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val6.3.9_0.001_permutation_4_2.5E-03_1.0E+04_5.0E-04,0.4341678592096121,0.2367704371214317,0.5520797038399485,True,21,0,8,0.8263163078828883,0.7097714981070848,0.5722515848615881,43.0,1871,0.5341090153300136,0.515850569951549,12.199918937710564,0.633216507653183,27,12.234671061353412,0.6664085728306242,0.6517338036270318
6.3.9_kinect,coarse,0.15081396701132105,0.0,35,13,12,35,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val3.1.3_0.001_permutation_6_2.5E-03_1.0E+04_5.0E-04,0.6279510934308208,0.25812294593367213,0.021509629904743022,True,14,0,21,0.807111797472498,0.5541746071971618,0.5918254844088225,101.0,1988,0.012366979816274354,0.34877059672485683,0.22417130294703771,0.4780038320593452,27,-0.28663458630032557,0.12452904714773809,0.16479657962395078
6.3.9_kinect,fine,0.360987451050568,3.7037037037037037,35,13,12,35,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val3.1.3_0.001_permutation_6_2.5E-03_1.0E+04_5.0E-04,0.6279510934308208,0.25812294593367213,0.09053453238885378,True,14,0,21,0.807111797472498,0.5541746071971618,0.5918254844088225,101.0,1988,0.22254046385552131,0.34877059672485683,4.980974826359779,0.4780038320593452,27,4.62534435604186,0.3452968536784016,0.38168308837511183
2.4.1_kinect,coarse,0.32473230087541055,8.0,41,12,12,29,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val6.3.9_0.001_permutation_3_2.5E-03_1.0E+04_5.0E-04,0.4652238006620996,0.22059573670119767,0.3651772552006118,True,10,2,17,0.8135797357632449,0.573361679224973,0.6825374447080763,44.0,1871,0.21015275113172618,0.4010553612332377,4.565522548085341,0.5786350669699323,21,4.723674165560408,0.33970745056992413,0.34841778837941906
2.4.1_kinect,fine,0.6694534164473728,29.166666666666668,41,12,12,29,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val6.3.9_0.001_permutation_3_2.5E-03_1.0E+04_5.0E-04,0.4652238006620996,0.22059573670119767,0.5293603522781549,True,10,2,17,0.8135797357632449,0.573361679224973,0.6825374447080763,44.0,1871,0.5548738667036884,0.4010553612332377,12.249749541689223,0.5786350669699323,21,12.111305856039165,0.6829663713378639,0.6625083993743316
2.4.1_kinect,coarse,0.3699532151140306,8.0,36,15,12,32,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val3.1.3_0.001_permutation_4_2.5E-03_1.0E+04_5.0E-04,0.43755255437646084,0.2222091037424466,0.46668590713511754,True,14,1,17,0.8238563021648047,0.7460455280172412,0.6161994188707339,50.0,1871,0.24796835399512585,0.44341667730792167,5.573975597540354,0.6245961192442764,22,5.7394199449572305,0.38765858633091405,0.3620711099463815
2.4.1_kinect,fine,0.672331283482071,29.166666666666668,36,15,12,32,"{'lmda': 0.0005, 'alfa': 10000.0, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0001, 'dropout': 0.5, 'n_epochs': 10, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.0025, 'trigger': 'uncertainty', 'equal_sigma': '0'}",mar_19_30_uncertainty_attention_val3.1.3_0.001_permutation_4_2.5E-03_1.0E+04_5.0E-04,0.43755255437646084,0.2222091037424466,0.5489687214631078,True,14,1,17,0.8238563021648047,0.7460455280172412,0.6161994188707339,50.0,1871,0.5503464223631662,0.44341667730792167,12.46540644730879,0.6245961192442764,22,11.743930929987817,0.6677309837891442,0.6718895031940164
